"","Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
"341",341,60,"RL",0.85,141.91,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","Timber","Norm","Norm","1Fam","2Story",8,5,2002,2002,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,9.67,9.67,"GasA","Ex","Y","SBrkr",993,915,0,19.08,0,0,2,1,4,1,"Gd",9,"Typ",0,"None","Attchd",2002,"Fin",2,4.31,"TA","TA","Y",1.35,0,0,0,0,0,"None","None","None",0,4,2010,"WD","Normal",202900
"346",346,50,"RL",0.65,64.35,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","RRAn","Norm","1Fam","1.5Fin",6,5,1939,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,9.72,9.72,"GasA","Gd","Y","SBrkr",972,605,0,15.77,0,0,1,0,3,1,"Fa",6,"Typ",1,"Gd","Detchd",1939,"Unf",1,3.12,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,10,2006,"WD","Normal",140200
"347",347,20,"RL",0.69,127.72,"Pave","None","IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,8,1960,1998,"Hip","CompShg","MetalSd","MetalSd","None",0,"TA","Gd","CBlock","TA","TA","Mn","BLQ",4.98,"Unf",0,4.6,9.58,"GasA","TA","Y","SBrkr",958,0,0,9.58,0,0,1,0,2,1,"TA",5,"Typ",0,"None","Attchd",1960,"RFn",1,3.01,"TA","TA","Y",0,0,0,0,0,0,"None","None","Gar2",15500,4,2007,"WD","Normal",151500
"348",348,20,"RL",0.69,176,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1960,1960,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",30,"TA","TA","CBlock","TA","TA","No","BLQ",12.7,"Unf",0,2.08,14.78,"GasA","Ex","Y","FuseA",1478,0,0,14.78,1,0,2,0,3,1,"TA",6,"Typ",2,"Gd","Attchd",1960,"Unf",2,4.98,"TA","TA","Y",0,0.4,0,0,0,0,"None","None","None",0,12,2009,"WD","Normal",157500
"349",349,160,"RL",0.36,24.48,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","Twnhs","2Story",7,5,2003,2004,"Gable","CompShg","VinylSd","Wd Shng","Stone",106,"Gd","TA","PConc","Gd","TA","No","GLQ",5.73,"Unf",0,1.91,7.64,"GasA","Ex","Y","SBrkr",764,862,0,16.26,1,0,2,1,2,1,"Gd",6,"Typ",0,"None","BuiltIn",2003,"RFn",2,4.74,"TA","TA","Y",0,0.27,0,0,0,0,"None","None","None",0,10,2008,"WD","Normal",154000
"352",352,120,"RL",0.69,52.71,"Pave","None","IR1","Low","AllPub","Inside","Mod","ClearCr","Norm","Norm","1Fam","1Story",7,5,1986,1986,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","Gd","TA","Gd","GLQ",10.82,"Unf",0,3.71,14.53,"GasA","Gd","Y","SBrkr",1453,0,0,14.53,1,0,1,1,2,1,"Gd",6,"Typ",1,"TA","Attchd",1986,"RFn",2,4.45,"TA","TA","Y",0,0.8,0,0,1.84,0,"None","None","None",0,12,2006,"WD","Abnorml",190000
"353",353,50,"RL",0.6,90.84,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Artery","Norm","1Fam","1.5Fin",5,6,1941,1950,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","Fa","Mn","LwQ",2.36,"Rec",3.8,0,6.16,"GasA","TA","N","SBrkr",616,495,0,11.11,0,1,1,0,3,1,"TA",5,"Typ",0,"None","Detchd",1941,"Unf",1,2,"TA","Fa","Y",0.48,0,0,0,0,0,"None","None","None",0,3,2008,"ConLw","Normal",95000
"355",355,50,"RL",0.6,84,"Pave","None","Reg","Bnk","AllPub","Inside","Gtl","SWISU","Norm","Norm","1Fam","1.5Fin",6,5,1940,2000,"Gable","CompShg","Wd Sdng","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","LwQ",3.88,"Unf",0,5.52,9.4,"GasA","Ex","Y","SBrkr",1192,403,0,15.95,0,0,1,0,2,1,"TA",6,"Typ",2,"Gd","Attchd",1940,"Unf",1,2.4,"TA","TA","Y",0,0,1.08,0,0,0,"None","None","None",0,6,2006,"WD","Normal",140000
"356",356,20,"RL",1.05,112.49,"Pave","None","IR2","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",6,5,1995,1995,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","Gd","PConc","Gd","Gd","No","ALQ",3.34,"BLQ",5.44,3.22,12,"GasA","Ex","Y","SBrkr",1200,0,0,12,1,0,2,0,3,1,"Gd",6,"Typ",0,"None","Attchd",1995,"RFn",2,5.21,"TA","TA","Y",0,0.26,0,0,0,0,"None","None","None",0,8,2007,"WD","Normal",177500
"357",357,20,"RL",0.69,92.48,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","1Story",6,6,1992,1992,"Gable","CompShg","HdBoard","HdBoard","BrkFace",106,"TA","TA","PConc","Gd","TA","No","GLQ",5.6,"Unf",0,5.98,11.58,"GasA","Gd","Y","SBrkr",1167,0,0,11.67,1,0,2,0,3,1,"Gd",6,"Typ",0,"None","Attchd",1992,"RFn",2,4,"TA","TA","Y",1.2,0.26,0,0,0,0,"None","None","None",0,7,2009,"WD","Normal",173000
"359",359,80,"RL",0.92,69.3,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","ClearCr","Norm","Norm","1Fam","SLvl",5,4,1958,1958,"Hip","CompShg","Wd Sdng","ImStucc","BrkFace",120,"TA","TA","CBlock","TA","TA","Av","BLQ",3,"Rec",2.94,4.68,10.62,"GasA","Ex","Y","FuseF",1352,0,0,13.52,0,1,1,0,3,1,"Gd",6,"Min2",0,"None","BuiltIn",1958,"Unf",1,2.88,"TA","TA","Y",1.68,0,2.94,0,0,0,"None","None","None",0,7,2006,"WD","Abnorml",130000
"361",361,85,"RL",0.69,75.4,"Pave","None","IR1","Lvl","AllPub","CulDSac","Gtl","Mitchel","Norm","Norm","1Fam","SFoyer",6,6,1978,1978,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","Gd","TA","Av","GLQ",7.73,"Unf",0,1.15,8.88,"GasA","Ex","Y","SBrkr",912,0,0,9.12,1,0,1,0,2,1,"TA",5,"Typ",1,"TA","Attchd",1978,"RFn",2,4.7,"TA","TA","Y",0,0,0,0,1.92,0,"None","MnPrv","None",0,6,2007,"WD","Normal",156000
"362",362,50,"RL",0.69,91.44,"Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin",5,5,1940,1982,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","Rec",3.99,"Unf",0,4.84,8.83,"GasA","Gd","Y","SBrkr",988,517,0,15.05,1,0,1,0,3,1,"TA",8,"Typ",0,"None","Detchd",1940,"Unf",1,2.4,"TA","TA","N",0,0,0,0,0,0,"None","None","None",0,7,2008,"WD","Normal",145000
"365",365,60,"RL",0.69,188,"Pave","None","IR1","Lvl","AllPub","FR2","Gtl","NWAmes","Norm","Norm","1Fam","2Story",6,5,1976,1976,"Gable","CompShg","HdBoard","HdBoard","BrkFace",120,"TA","TA","PConc","Gd","TA","Mn","GLQ",7.12,"Unf",0,0.84,7.96,"GasA","TA","Y","SBrkr",790,784,0,15.74,1,0,2,1,3,1,"TA",6,"Typ",1,"TA","Attchd",1976,"Fin",2,5.66,"TA","TA","Y",3.06,1.11,0,0,0,0,"None","None","None",0,7,2006,"WD","Normal",190000
"366",366,70,"RM",0.59,106.9,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","2Story",5,7,1920,1997,"Hip","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","Fa","No","Rec",4.56,"Unf",0,2.16,6.72,"GasA","Gd","Y","FuseA",672,672,0,13.44,0,0,1,0,3,1,"TA",6,"Typ",0,"None","Detchd",1964,"Unf",1,4.68,"TA","Fa","Y",0,1.28,2.18,0,0,0,"None","None","None",0,7,2009,"WD","Normal",147000
"367",367,20,"RL",0.69,95,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1963,1963,"Gable","CompShg","Plywood","Plywood","BrkFace",247,"TA","TA","CBlock","Gd","TA","No","BLQ",6.09,"Unf",0,7.85,13.94,"GasA","Gd","Y","SBrkr",1394,0,0,13.94,1,0,1,1,3,1,"TA",6,"Typ",2,"Gd","Attchd",1963,"RFn",2,5.14,"TA","TA","Y",0,0.76,0,0,1.85,0,"None","None","None",0,7,2009,"WD","Normal",159000
"368",368,80,"RL",1.01,91.5,"Pave","None","IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","SLvl",6,5,1962,1962,"Gable","Tar&Grv","Plywood","Plywood","BrkFace",305,"TA","TA","CBlock","Gd","TA","Gd","GLQ",3.71,"Unf",0,7.28,10.99,"GasA","Gd","Y","SBrkr",1431,0,0,14.31,0,1,1,0,3,1,"TA",6,"Typ",1,"Gd","Basment",1962,"RFn",1,2.96,"TA","TA","Y",0.64,1.1,0,0,0,0,"None","None","None",0,12,2008,"WD","Normal",165000
"369",369,20,"RL",0.78,78,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1954,1954,"Gable","CompShg","HdBoard","HdBoard","BrkFace",200,"TA","TA","PConc","TA","TA","No","LwQ",5.4,"Unf",0,7.28,12.68,"GasA","Gd","Y","SBrkr",1268,0,0,12.68,0,0,1,0,2,1,"TA",7,"Typ",1,"Gd","Attchd",1954,"Fin",1,2.44,"TA","TA","Y",0,0.98,0,0,0,0,"None","None","None",0,3,2010,"WD","Normal",132000
"370",370,20,"RL",0.69,98.3,"Pave","None","IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,1959,2006,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","Gd","CBlock","TA","TA","No","ALQ",0.72,"Rec",2.58,7.33,10.63,"GasA","Ex","Y","SBrkr",1287,0,0,12.87,1,0,1,0,3,1,"Gd",7,"Typ",1,"Gd","Detchd",1997,"Fin",2,5.76,"TA","TA","Y",3.64,0.17,0,0,1.82,0,"None","None","None",0,3,2010,"WD","Normal",162000
"371",371,60,"RL",0.69,81.21,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,9.53,9.53,"GasA","Ex","Y","SBrkr",953,711,0,16.64,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","Attchd",2000,"RFn",2,4.6,"TA","TA","Y",1,0.4,0,0,0,0,"None","None","None",0,1,2006,"WD","Normal",172400
"372",372,50,"RL",0.8,171.2,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","ClearCr","Feedr","Norm","1Fam","1.5Fin",4,4,1959,1959,"Gable","CompShg","WdShing","Plywood","None",0,"TA","TA","CBlock","None","None","None","None",0,"None",0,0,0,"GasA","TA","Y","SBrkr",1120,468,0,15.88,0,0,2,0,4,1,"TA",7,"Min2",1,"Gd","Detchd",1991,"Fin",2,6.8,"TA","TA","N",0,0.59,0,0,0,0,"None","None","None",0,7,2008,"WD","Normal",134432
"374",374,20,"RL",0.79,106.34,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1953,1953,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","PConc","TA","TA","No","BLQ",4.28,"LwQ",1.8,0,6.08,"GasA","TA","Y","SBrkr",1319,0,0,13.19,1,0,1,0,3,1,"TA",5,"Min2",0,"None","Attchd",1953,"Unf",1,2.7,"TA","TA","Y",0.66,0,0,0,0,0,"None","GdWo","None",0,11,2009,"WD","Normal",123000
"377",377,85,"RL",0.57,88.46,"Pave","None","IR1","Lvl","AllPub","CulDSac","Gtl","CollgCr","Norm","Norm","1Fam","SFoyer",5,5,1996,1996,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","GLQ",2.98,"Unf",0,5.72,8.7,"GasA","Ex","Y","SBrkr",914,0,0,9.14,0,0,1,0,2,1,"TA",5,"Typ",0,"None","Detchd",1998,"Unf",2,5.76,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,7,2006,"WD","Normal",148000
"380",380,60,"RL",0.6,81.23,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","RRAn","Norm","1Fam","2Story",6,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","BrkFace",16,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,9.82,9.82,"GasA","Ex","Y","SBrkr",1007,793,0,18,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","Attchd",2000,"Fin",2,4.63,"TA","TA","Y",1,0.63,0,0,0,0,"None","None","None",0,6,2009,"WD","Normal",179000
"381",381,50,"RL",0.5,50,"Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","SWISU","Norm","Norm","1Fam","1.5Fin",5,6,1924,1950,"Gable","CompShg","BrkFace","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","LwQ",2.18,"Unf",0,8.08,10.26,"GasA","TA","Y","SBrkr",1026,665,0,16.91,0,0,2,0,3,1,"Gd",6,"Typ",1,"Gd","Detchd",1924,"Unf",1,3.08,"TA","TA","Y",0,0,2.42,0,0,0,"None","None","None",0,5,2010,"WD","Normal",127000
"382",382,20,"FV",0.6,72,"Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",7,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","Gd","No","Unf",0,"Unf",0,12.93,12.93,"GasA","Ex","Y","SBrkr",1301,0,0,13.01,1,0,2,0,2,1,"Gd",5,"Typ",1,"Gd","Attchd",2006,"RFn",2,5.72,"TA","TA","Y",2.16,1.21,0,0,0,0,"None","None","None",0,8,2006,"New","Partial",187750
"383",383,60,"RL",0.79,92.45,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",0,9.39,9.39,"GasA","Ex","Y","SBrkr",939,858,0,17.97,0,0,2,1,3,1,"Gd",8,"Typ",0,"None","Attchd",2006,"RFn",2,6.39,"TA","TA","Y",1.44,0.53,0,0,0,0,"None","None","None",0,4,2007,"WD","Normal",213500
"386",386,120,"RL",0.43,31.82,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","Blmngtn","Norm","Norm","TwnhsE","1Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","BrkFace",16,"Gd","TA","PConc","Gd","TA","No","GLQ",0.24,"Unf",0,12.32,12.56,"GasA","Ex","Y","SBrkr",1269,0,0,12.69,0,0,2,0,2,1,"Gd",6,"Typ",1,"TA","Attchd",2004,"Fin",2,4.3,"TA","TA","Y",1.46,0.2,0,0,1.44,0,"None","None","None",0,4,2010,"WD","Normal",192000
"389",389,20,"RL",0.93,93.82,"Pave","None","IR1","Lvl","AllPub","CulDSac","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,1999,2000,"Gable","CompShg","VinylSd","VinylSd","BrkFace",125,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,14.68,14.68,"GasA","Ex","Y","SBrkr",1479,0,0,14.79,0,0,2,0,3,1,"Gd",6,"Typ",0,"None","Attchd",1999,"RFn",2,5.77,"TA","TA","Y",1.2,0.25,0,0,0,0,"None","None","None",0,7,2008,"WD","Normal",191000
"392",392,60,"RL",0.71,122.09,"Pave","None","IR1","Lvl","AllPub","CulDSac","Gtl","Mitchel","Norm","Norm","1Fam","2Story",6,5,2001,2002,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Ex","TA","No","ALQ",6.9,"Unf",0,1.14,8.04,"GasA","Ex","Y","SBrkr",804,1157,0,19.61,1,0,2,1,3,1,"Gd",7,"Typ",1,"TA","BuiltIn",2001,"Fin",2,5.6,"TA","TA","Y",1.25,1.92,0,0,0,0,"None","None","None",0,6,2009,"WD","Normal",215000
"393",393,20,"RL",0.69,83.39,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,1959,1959,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","Slab","None","None","None","None",0,"None",0,0,0,"GasA","TA","Y","SBrkr",882,0,0,8.82,0,0,1,0,3,1,"TA",5,"Typ",0,"None","Attchd",1959,"RFn",1,2.94,"TA","TA","Y",0,0,0,0,0,0,"None","MnPrv","Shed",1200,7,2007,"WD","Normal",106500
"394",394,30,"RL",0.69,74.46,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Feedr","Norm","1Fam","1Story",4,5,1941,1950,"Gable","CompShg","WdShing","Wd Shng","None",0,"TA","TA","CBlock","TA","TA","No","Rec",2.66,"Unf",0,5.22,7.88,"GasA","TA","Y","FuseA",788,0,0,7.88,0,0,1,0,2,1,"TA",4,"Typ",2,"TA","None",1980,"None",0,0,"None","None","Y",0,0,0,0,0,0,"None","GdWo","None",0,4,2006,"WD","Abnorml",100000
"395",395,50,"RL",0.6,101.34,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin",5,6,1940,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,7.35,7.35,"GasA","Gd","Y","FuseA",735,299,0,10.34,0,0,1,0,2,1,"TA",5,"Typ",0,"None","Detchd",1940,"Unf",1,2.4,"TA","TA","Y",0,0.39,0,0,0,0,"None","None","None",0,7,2007,"WD","Normal",109000
"396",396,20,"RL",0.68,95.71,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story",5,6,1956,1956,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","Av","BLQ",7.39,"Unf",0,4.05,11.44,"GasA","TA","Y","SBrkr",1144,0,0,11.44,1,0,1,0,3,1,"TA",6,"Typ",0,"None","Attchd",1956,"Unf",1,5.96,"TA","TA","Y",0.44,0,0,0,0,0,"None","None","None",0,6,2010,"WD","Normal",129000
"397",397,20,"RL",0.6,72,"Pave","None","Reg","Low","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",5,5,1972,1972,"Hip","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","Av","Rec",7.77,"Unf",0,1.17,8.94,"GasA","TA","Y","SBrkr",894,0,0,8.94,0,0,1,0,2,1,"TA",6,"Typ",0,"None","Detchd",1985,"RFn",2,6,"TA","TA","Y",2.15,0,0,0,0,0,"None","None","None",0,9,2009,"WD","Normal",123000
"398",398,60,"RL",0.69,75.9,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","PosN","Norm","1Fam","2Story",5,5,1962,1962,"Gable","CompShg","VinylSd","VinylSd","BrkFace",288,"TA","TA","CBlock","TA","TA","No","ALQ",5.4,"Unf",0,3.24,8.64,"GasA","TA","Y","SBrkr",876,936,0,18.12,0,0,2,0,4,1,"TA",8,"Typ",1,"TA","Attchd",1962,"RFn",1,2.64,"TA","TA","Y",0,1.68,0,0,0,0,"None","None","None",0,7,2007,"WD","Normal",169500
"402",402,20,"RL",0.65,87.67,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","GLQ",0.24,"Unf",0,12.86,13.1,"GasA","Ex","Y","SBrkr",1310,0,0,13.1,0,0,2,0,3,1,"Gd",6,"Typ",1,"Gd","Attchd",2005,"Fin",2,4,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,7,2006,"New","Partial",164990
"403",403,30,"RL",0.6,102,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,8,1940,1997,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,6.72,6.72,"GasA","Ex","Y","SBrkr",672,0,0,6.72,0,0,1,0,2,1,"TA",4,"Typ",0,"None","Detchd",1940,"Unf",1,2.4,"TA","TA","N",1.68,0,0,0,0,0,"None","GdPrv","None",0,8,2008,"WD","Normal",108000
"405",405,60,"RL",0.69,103.64,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,1995,1996,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,8.06,8.06,"GasA","Gd","Y","SBrkr",806,766,0,15.72,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","BuiltIn",1995,"Fin",2,3.73,"TA","TA","Y",0,0.4,0,0,0,0,"None","None","None",0,5,2007,"WD","Normal",168000
"406",406,20,"RL",0.69,99.91,"Pave","None","IR1","Lvl","AllPub","Corner","Gtl","Sawyer","Feedr","Norm","1Fam","1Story",4,4,1976,1993,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",11.16,"Unf",0,1.65,12.81,"GasA","Ex","Y","SBrkr",1620,0,0,16.2,1,0,2,0,3,1,"TA",8,"Min1",1,"TA","Attchd",1993,"Unf",2,4.9,"TA","TA","Y",1.2,0.78,0,0,0,0,"None","GdWo","None",0,6,2009,"WD","Normal",150000
"414",414,30,"RM",0.56,89.6,"Pave","Grvl","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1Story",5,6,1927,1950,"Gable","CompShg","WdShing","Wd Shng","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,10.08,10.08,"GasA","Gd","Y","FuseA",1028,0,0,10.28,0,0,1,0,2,1,"TA",5,"Typ",1,"Gd","Detchd",1927,"Unf",2,3.6,"TA","TA","Y",0,0,1.3,0,0,0,"None","None","None",0,3,2010,"WD","Normal",115000
"415",415,60,"RL",0.59,112.28,"Pave","None","IR2","Lvl","AllPub","CulDSac","Gtl","SawyerW","Norm","Norm","1Fam","2Story",7,5,1993,1993,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","BLQ",0.5,"GLQ",5.31,4.99,10.8,"GasA","Ex","Y","SBrkr",1080,1017,0,20.97,0,1,2,1,3,1,"Gd",9,"Typ",1,"TA","Attchd",1993,"Unf",3,6.78,"TA","TA","Y",1.96,1.87,0,0,0,0,"None","None","None",0,12,2008,"WD","Normal",228000
"416",416,20,"RL",0.73,88.99,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","1Story",7,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","GLQ",0.24,"Unf",0,13.16,13.4,"GasA","Ex","Y","SBrkr",1340,0,0,13.4,0,0,2,0,3,1,"Gd",6,"Typ",0,"None","Attchd",2007,"Fin",2,3.96,"TA","TA","Y",1,0.3,0,0,0,0,"None","None","None",0,8,2007,"New","Partial",181134
"417",417,60,"RL",0.74,78.44,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","2Story",6,7,1978,1978,"Hip","CompShg","HdBoard","HdBoard","BrkFace",203,"TA","TA","CBlock","TA","TA","No","ALQ",2.09,"Unf",0,4.63,6.72,"GasA","TA","Y","SBrkr",672,728,0,14,0,0,1,1,3,1,"TA",6,"Typ",1,"TA","Attchd",1978,"Fin",2,4.4,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,3,2006,"WD","Normal",149500
"419",419,50,"RL",0.6,81.6,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1.5Fin",5,6,1940,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","ALQ",3.12,"Unf",0,4.44,7.56,"GasA","Fa","N","FuseF",756,378,0,11.34,1,0,1,1,3,1,"TA",7,"Typ",0,"None","Detchd",1940,"Unf",1,2.4,"TA","TA","P",0,0,0,0,0,0,"None","None","None",0,4,2007,"WD","AdjLand",126000
"420",420,20,"RL",0.65,84.5,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1968,1968,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",7.75,"Unf",0,2.81,10.56,"GasA","Ex","Y","SBrkr",1056,0,0,10.56,1,0,1,0,3,1,"TA",6,"Typ",1,"Fa","Attchd",1968,"Unf",1,3.04,"TA","TA","Y",0,0.85,1.84,0,0,0,"None","None","None",0,7,2010,"WD","Normal",142000
"422",422,20,"RL",0.69,166.35,"Pave","None","IR1","Lvl","AllPub","FR2","Gtl","NWAmes","Norm","Norm","1Fam","1Story",6,7,1977,2000,"Gable","CompShg","CemntBd","CmentBd","Stone",126,"Gd","TA","CBlock","Gd","TA","No","ALQ",12.46,"Unf",0,3.56,16.02,"GasA","Gd","Y","SBrkr",1602,0,0,16.02,0,1,2,0,3,1,"Gd",8,"Typ",1,"TA","Attchd",1977,"Fin",2,5.29,"TA","TA","Y",2.4,0,0,0,0,0,"None","None","None",0,6,2009,"WD","Normal",215000
"423",423,20,"RL",1,217.5,"Pave","None","Reg","HLS","AllPub","Inside","Mod","Mitchel","Artery","Norm","1Fam","1Story",5,5,1954,1954,"Hip","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,9.88,9.88,"GasA","Ex","Y","FuseA",988,0,0,9.88,0,0,1,0,2,1,"TA",4,"Typ",0,"None","Attchd",1954,"RFn",2,5.2,"TA","TA","N",0,0,0,0,0,0,"None","None","None",0,2,2008,"WD","Normal",113000
